"NumeroBenevole","Civilite","Nom","Prenom","NomComplet","Email","Telephone","TelephoneMobile","Adresse1","Adresse2","NPA","Ville","DateNaissance","Langues","SituationPersonnelle","Formation","NotesGenerales","NotesInternes","Binome","Statut","DateEntree","Provenance","ProvenanceDetail","DisponibilitesPreferees","CentresInteret","Competences","RecevoirInvitations","ParticiperEvenements","DateCreation","DateDerniereMajProfil","RGPDConsentement","SourceID"
"BEN-00015","Madame","Michel","Sylvie","Michel Sylvie","sylvie.michel@mail.ch","410221505659","410791005745","Chemin de Bellevue 99","","1204","GENEVE","13/01/1969 00:00:00","FranÃ§ais","","","","","","Ancien","03/05/2016 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","15"
"BEN-00016","Madame","Garcia","Sandrine","Garcia Sandrine","sandrine.garcia@contact.ch","410225127325","410786128323","Route de Meyrin 40","","1200","GENEVE","09/03/1975 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2010 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","16"
"BEN-00017","Madame","David","ValÃ©rie","David ValÃ©rie","valaerie.david@test.ch","410222057944","410799735443","Avenue des Champs 20","","1201","GENEVE","26/12/1986 00:00:00","FranÃ§ais","","","","","","Actif","","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","17"
"BEN-00018","Madame","Bertrand","Michel","Bertrand Michel","michel.bertrand@email.ch","410222369579","410779669410","Route des Acacias 56","","1207","GENEVE","03/12/1961 00:00:00","FranÃ§ais","","","","","","Actif","","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","18"
"BEN-00019","Madame","Roux","Bernard","Roux Bernard","bernard.roux@exemple.ch","410226951752","410763117186","Rue des Ecoles 31","","1213","PETIT-LANCY","16/06/1999 00:00:00","FranÃ§ais","","","","","","Ancien","","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","19"
"BEN-00020","Madame","Vincent","Alain","Vincent Alain","alain.vincent@mail.ch","410222804516","410769986429","Avenue de la Source 33","","1201","GENEVE","15/04/1996 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2000 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","20"
"BEN-00021","Monsieur","Fournier","FranÃ§ois","Fournier FranÃ§ois","franacois.fournier@contact.ch","410221545816","410799585050","Chemin du Moulin 72","","1201","GENEVE","05/06/1963 00:00:00","FranÃ§ais","","","","","","Ancien","01/09/2006 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","21"
"BEN-00022","Monsieur","Morel","Thierry","Morel Thierry","thierry.morel@test.ch","410227746973","410793031262","Chemin des Pins 76","","1202","GENEVE","26/09/1943 00:00:00","FranÃ§ais","","","","","","Actif","01/03/2007 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","22"
"BEN-00023","Madame","Girard","Anne","Girard Anne","anne.girard@email.ch","410224365712","410778015515","Avenue de la Source 2","","1202","GENEVE","15/12/1966 00:00:00","FranÃ§ais","","","","","","Ancien","01/05/2015 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","23"
"BEN-00024","Monsieur","AndrÃ©","Martine","AndrÃ© Martine","martine.andrae@exemple.ch","410223153338","410791711325","Chemin des Fleurs 18","","1213","PETIT-LANCY","18/10/1940 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2013 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","24"
"BEN-00025","Monsieur","Mercier","FranÃ§oise","Mercier FranÃ§oise","franacoise.mercier@mail.ch","410228856022","410779438091","Chemin des Pins 81","","1202","GENEVE","23/12/1996 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2015 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","25"
"BEN-00026","Madame","Dupont","Monique","Dupont Monique","monique.dupont@contact.ch","410223022362","410765877033","Rue du Stade 11","","1214","VERNIER","01/05/1965 00:00:00","FranÃ§ais","","","","","","Actif","20/04/2016 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","26"
"BEN-00027","Monsieur","Lambert","Nicole","Lambert Nicole","nicole.lambert@test.ch","410224867116","410763778771","Chemin des Pins 94","","1203","GENEVE","18/12/1955 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2011 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","27"
"BEN-00028","Madame","Bonnet","Patrick","Bonnet Patrick","patrick.bonnet@email.ch","410224427685","410789852884","Rue des Ecoles 59","","1228","PLAN-LES-OUATES","22/09/1950 00:00:00","FranÃ§ais","","","","","","Ponctuel","01/01/2010 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","28"
"BEN-00029","Madame","FranÃ§ois","Daniel","FranÃ§ois Daniel","daniel.franacois@exemple.ch","410226373639","410778954489","Chemin de la Colline 11","","1203","GENEVE","06/12/1997 00:00:00","FranÃ§ais","","","","","","Ancien","01/01/2014 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","29"
"BEN-00030","Madame","Martinez","Christian","Martinez Christian","christian.martinez@mail.ch","410222278788","410784513944","Avenue de la LibertÃ© 32","","1213","PETIT-LANCY","26/03/1985 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2012 00:00:00","Bénéficiaires","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","30"
"BEN-00031","Madame","Legrand","Jacques","Legrand Jacques","jacques.legrand@contact.ch","410226438569","410773732233","Route de Ferney 98","","1228","PLAN-LES-OUATES","21/12/1966 00:00:00","FranÃ§ais","","","","","","Ancien","01/01/2005 00:00:00","Déjà intégrés","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","31"
"BEN-00032","Madame","Garnier","AndrÃ©","Garnier AndrÃ©","andrae.garnier@test.ch","410222607460","410781993479","Rue de la Mairie 90","","1214","VERNIER","20/02/1941 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2000 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","32"
"BEN-00033","Madame","Faure","CÃ©line","Faure CÃ©line","caeline.faure@email.ch","410229095778","410786548724","Rue du Stade 50","","1203","GENEVE","21/03/1995 00:00:00","FranÃ§ais","","","","","","Ancien","","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","33"
"BEN-00034","Monsieur","Rousseau","StÃ©phanie","Rousseau StÃ©phanie","staephanie.rousseau@exemple.ch","410225823825","410783615826","Chemin des Pins 18","","1218","GRAND-SACONNEX","27/07/1991 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2010 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","34"
"BEN-00035","Madame","Blanc","Corinne","Blanc Corinne","corinne.blanc@mail.ch","410223006247","410782681479","Route des Acacias 79","","1203","GENEVE","10/10/1989 00:00:00","FranÃ§ais","","","","","","Ancien","01/01/2014 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","35"
"BEN-00036","Monsieur","Guerin","Brigitte","Guerin Brigitte","brigitte.guerin@contact.ch","410222432780","410785904220","Chemin des Fleurs 42","","1202","GENEVE","13/09/1941 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2013 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","36"
"BEN-00037","Monsieur","Muller","Dominique","Muller Dominique","dominique.muller@test.ch","410221257368","410794462890","Route de Lausanne 77","","1200","GENEVE","19/02/1996 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2013 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","37"
"BEN-00038","Madame","Henry","Eric","Henry Eric","eric.henry@email.ch","410228697014","410795888050","Avenue des Alpes 13","","1205","GENEVE","18/08/1949 00:00:00","FranÃ§ais","","","","","","Ancien","","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","38"
"BEN-00039","Madame","Roussel","Pascal","Roussel Pascal","pascal.roussel@exemple.ch","410224065713","410773875888","Chemin des Pins 39","","1204","GENEVE","11/02/1954 00:00:00","FranÃ§ais","","","","","","Actif","04/07/2016 00:00:00","Bénéficiaires","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","39"
"BEN-00040","Madame","Nicolas","Olivier","Nicolas Olivier","olivier.nicolas@mail.ch","410224046337","410792962945","Avenue de France 92","","1205","GENEVE","20/09/1943 00:00:00","FranÃ§ais","","","","","","Actif","","Services sociaux","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","40"
"BEN-00041","Madame","Perrin","Bruno","Perrin Bruno","bruno.perrin@contact.ch","410222522726","410764847290","Avenue des Champs 72","","1200","GENEVE","07/10/1961 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Déjà intégrés","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","41"
"BEN-00042","Madame","Meyer","Vincent","Meyer Vincent","vincent.meyer@test.ch","410226823899","410795748316","Boulevard du RhÃ´ne 8","","1201","GENEVE","01/07/1998 00:00:00","FranÃ§ais","","","","","","Ponctuel","17/07/2016 00:00:00","Site Lancy","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","42"
"BEN-00043","Madame","Clement","AgnÃ¨s","Clement AgnÃ¨s","agnaes.clement@email.ch","410226306899","410775144098","Chemin de Bellevue 14","","1205","GENEVE","11/05/1981 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Autres","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","43"
"BEN-00044","Monsieur","Dufour","GeneviÃ¨ve","Dufour GeneviÃ¨ve","geneviaeve.dufour@exemple.ch","410224929778","410791171074","Avenue Victor Hugo 23","","1214","VERNIER","26/11/1978 00:00:00","FranÃ§ais","","","","","","Ancien","11/07/2016 00:00:00","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","44"
"BEN-00045","Monsieur","Fontaine","VÃ©ronique","Fontaine VÃ©ronique","vaeronique.fontaine@mail.ch","410228216949","410794312426","Rue Jean JaurÃ¨s 68","","1202","GENEVE","06/12/1977 00:00:00","FranÃ§ais","","","","","","Ponctuel","20/07/2016 00:00:00","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","45"
"BEN-00046","Madame","Chevalier","Chantal","Chevalier Chantal","chantal.chevalier@contact.ch","410229004030","410771148860","Route de Meyrin 91","","1208","GENEVE","20/11/1959 00:00:00","FranÃ§ais","","","","","","Ponctuel","19/08/2016 00:00:00","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","46"
"BEN-00047","Madame","Robin","Jacqueline","Robin Jacqueline","jacqueline.robin@test.ch","410227045513","410797325487","Avenue du Lac 76","","1209","GENEVE","21/02/1960 00:00:00","FranÃ§ais","","","","","","Ponctuel","07/08/2016 00:00:00","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","47"
"BEN-00048","Madame","Martin","Robert","Martin Robert","robert.martin@email.ch","410221115111","410776585658","Chemin du Moulin 71","","1227","CAROUGE","08/05/1946 00:00:00","FranÃ§ais","","","","","","Ancien","","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","48"
"BEN-00049","Monsieur","Bernard","RenÃ©","Bernard RenÃ©","renae.bernard@exemple.ch","410229491045","410794796462","Rue de la Mairie 95","","1203","GENEVE","07/01/1964 00:00:00","FranÃ§ais","","","","","","Ponctuel","22/08/2016 00:00:00","Site Lancy","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","49"
"BEN-00050","Madame","Dubois","Georges","Dubois Georges","georges.dubois@mail.ch","410223011991","410796282180","Rue de la Paix 45","","1218","GRAND-SACONNEX","02/11/1970 00:00:00","FranÃ§ais","","","","","","Ponctuel","20/07/2016 00:00:00","Tél","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","50"
"BEN-00051","Monsieur","Thomas","Henri","Thomas Henri","henri.thomas@contact.ch","410227968062","410781041261","Route des Acacias 10","","1202","GENEVE","05/08/1975 00:00:00","FranÃ§ais","","","","","","Ponctuel","24/07/2016 00:00:00","Genève Bénévolat","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","51"
"BEN-00052","Monsieur","Robert","Louis","Robert Louis","louis.robert@test.ch","410221205065","410765623275","Rue de la Gare 32","","1214","VERNIER","28/09/1957 00:00:00","FranÃ§ais","","","","","","Ponctuel","20/07/2016 00:00:00","Tél","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","52"
"BEN-00053","Madame","Petit","Sophie","Petit Sophie","sophie.petit@email.ch","410225426411","410771893714","Rue du Commerce 15","","1228","PLAN-LES-OUATES","19/11/1976 00:00:00","FranÃ§ais","","","","","","Ancien","06/10/2016 00:00:00","Email","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","53"
"BEN-00054","Madame","Durand","Marie","Durand Marie","marie.durand@exemple.ch","410224042912","410792893736","Rue de la Paix 63","","1218","GRAND-SACONNEX","12/07/1996 00:00:00","FranÃ§ais","","","","","","Ancien","07/09/2016 00:00:00","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","54"
"BEN-00055","Mademoiselle","Leroy","Isabelle","Leroy Isabelle","isabelle.leroy@mail.ch","410221657383","410768281686","Avenue des Champs 64","","1214","VERNIER","21/06/1976 00:00:00","FranÃ§ais","","","","","","Ponctuel","07/09/2016 00:00:00","CGV","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","55"
"BEN-00056","Monsieur","Moreau","Catherine","Moreau Catherine","catherine.moreau@contact.ch","410223583932","410765303277","Chemin des Vignes 75","","1206","GENEVE","01/04/1973 00:00:00","FranÃ§ais","","","","","","Ponctuel","12/07/2016 00:00:00","Site Lancy","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","56"
"BEN-00057","Monsieur","Simon","Nathalie","Simon Nathalie","nathalie.simon@test.ch","410229089842","410763704141","Route de GenÃ¨ve 22","","1202","GENEVE","14/11/1970 00:00:00","FranÃ§ais","","","","","","Ancien","","Autres","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","57"
"BEN-00058","Madame","Laurent","Pierre","Laurent Pierre","pierre.laurent@email.ch","410221945573","410791705212","Rue du Commerce 89","","1214","VERNIER","03/01/1965 00:00:00","FranÃ§ais","","","","","","Ponctuel","25/06/2016 00:00:00","Autres","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","58"
"BEN-00059","Monsieur","Lefebvre","Jean","Lefebvre Jean","jean.lefebvre@exemple.ch","410221392821","410762576077","Route de Ferney 33","","1206","GENEVE","08/02/1941 00:00:00","FranÃ§ais","","","","","","Ponctuel","25/06/2016 00:00:00","Bénéficiaires","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","59"
"BEN-00060","Madame","Michel","Marc","Michel Marc","marc.michel@mail.ch","410229557189","410761823558","Chemin de la Colline 96","","1214","VERNIER","17/01/1946 00:00:00","FranÃ§ais","","","","","","Ponctuel","26/09/2016 00:00:00","Site Lancy","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","60"
"BEN-00061","Madame","Garcia","Philippe","Garcia Philippe","philippe.garcia@contact.ch","410228524143","410769989189","Rue du Parc 75","","1207","GENEVE","06/07/1978 00:00:00","FranÃ§ais","","","","","","Ponctuel","12/09/2016 00:00:00","Site Lancy","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","61"
"BEN-00062","Madame","David","Laurent","David Laurent","laurent.david@test.ch","410225136821","410785263519","Rue du Commerce 39","","1218","GRAND-SACONNEX","14/10/1957 00:00:00","FranÃ§ais","","","","","","Ponctuel","06/09/2016 00:00:00","Site Lancy","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","62"
"BEN-00063","Madame","Bertrand","Julie","Bertrand Julie","julie.bertrand@email.ch","410225371133","410763521332","Rue de la Gare 14","","1206","GENEVE","08/05/1996 00:00:00","FranÃ§ais","","","","","","En attente","12/09/2016 00:00:00","Lancéen","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","63"
"BEN-00099","Monsieur","Roux","Christine","Roux Christine","christine.roux@exemple.ch","410223394647","410794355712","Avenue du Lac 54","","1214","VERNIER","07/04/1996 00:00:00","FranÃ§ais","","","","","","Ponctuel","01/09/2016 00:00:00","Tél","","","","","Non","Non","22/09/2016 09:56:25","2025-12-07 15:02:53","Oui","99"
"BEN-00102","Madame","Vincent","Sylvie","Vincent Sylvie","sylvie.vincent@mail.ch","410222962554","410782067023","Rue de la Fontaine 1","","1207","GENEVE","19/01/1988 00:00:00","FranÃ§ais","","","","","","En attente","22/09/2016 00:00:00","Tél","","","","","Non","Non","22/09/2016 17:13:07","2025-12-07 15:02:53","Oui","102"
"BEN-00104","Madame","Fournier","Sandrine","Fournier Sandrine","sandrine.fournier@contact.ch","410229686665","410765055811","Boulevard du RhÃ´ne 24","","1206","GENEVE","17/08/1943 00:00:00","FranÃ§ais","","","","","","Actif","17/10/2016 00:00:00","Services sociaux","","","","","Oui","Oui","03/10/2016 15:28:33","2025-12-07 15:02:53","Oui","104"
"BEN-00111","Madame","Morel","ValÃ©rie","Morel ValÃ©rie","valaerie.morel@test.ch","410223825633","410795443732","Rue de la Paix 88","","1217","MEYRIN","14/01/1950 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Tél","","","","","Non","Oui","06/10/2016 10:05:05","2025-12-07 15:02:53","Oui","111"
"BEN-00112","Madame","Girard","Michel","Girard Michel","michel.girard@email.ch","410226171288","410791195656","Avenue des Alpes 25","","1206","GENEVE","02/08/1999 00:00:00","FranÃ§ais","","","","","","Ponctuel","03/11/2016 00:00:00","Lancéen","","","","","Non","Oui","06/10/2016 15:31:40","2025-12-07 15:02:53","Oui","112"
"BEN-00116","Madame","AndrÃ©","Bernard","AndrÃ© Bernard","bernard.andrae@exemple.ch","410226162568","410795408350","Chemin des Pins 44","","1213","PETIT-LANCY","09/04/1984 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Lancéen","","","","","Non","Non","18/10/2016 10:00:03","2025-12-07 15:02:53","Oui","116"
"BEN-00117","Monsieur","Mercier","Alain","Mercier Alain","alain.mercier@mail.ch","410224247654","410775064238","Rue du Parc 95","","1206","GENEVE","09/05/1975 00:00:00","FranÃ§ais","","","","","","Ponctuel","18/10/2016 00:00:00","Site Lancy","","","","","Non","Oui","18/10/2016 13:08:52","2025-12-07 15:02:53","Oui","117"
"BEN-00118","Monsieur","Dupont","FranÃ§ois","Dupont FranÃ§ois","franacois.dupont@contact.ch","410224951441","410771972610","Rue de la Paix 75","","1206","GENEVE","10/02/1986 00:00:00","FranÃ§ais","","","","","","Ponctuel","26/11/2016 00:00:00","Genève Bénévolat","","","","","Non","Oui","19/10/2016 12:05:19","2025-12-07 15:02:53","Oui","118"
"BEN-00120","Monsieur","Lambert","Thierry","Lambert Thierry","thierry.lambert@test.ch","410229626685","410773658124","Route des Acacias 24","","1217","MEYRIN","15/06/1954 00:00:00","FranÃ§ais","","","","","","Ancien","","Tél","","","","","Non","Non","31/10/2016 10:07:30","2025-12-07 15:02:53","Oui","120"
"BEN-00123","Monsieur","Bonnet","Anne","Bonnet Anne","anne.bonnet@email.ch","410228898389","410794818858","Avenue des Alpes 27","","1208","GENEVE","20/02/1961 00:00:00","FranÃ§ais","","","","","","Ponctuel","10/11/2016 00:00:00","Genève Bénévolat","","","","","Non","Non","01/11/2016 10:23:39","2025-12-07 15:02:53","Oui","123"
"BEN-00124","Monsieur","FranÃ§ois","Martine","FranÃ§ois Martine","martine.franacois@exemple.ch","410225411234","410781266119","Route de Lausanne 63","","1207","GENEVE","11/06/1968 00:00:00","FranÃ§ais","","","","","","En attente","","Genève Bénévolat","","","","","Non","Non","01/11/2016 15:53:08","2025-12-07 15:02:53","Oui","124"
"BEN-00125","Madame","Martinez","FranÃ§oise","Martinez FranÃ§oise","franacoise.martinez@mail.ch","410221514810","410793362520","Avenue Victor Hugo 54","","1200","GENEVE","27/10/1989 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","01/11/2016 16:33:37","2025-12-07 15:02:53","Oui","125"
"BEN-00126","Madame","Legrand","Monique","Legrand Monique","monique.legrand@contact.ch","410223514191","410777939351","Rue des Ecoles 94","","1207","GENEVE","06/09/1997 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","01/11/2016 16:39:45","2025-12-07 15:02:53","Oui","126"
"BEN-00128","Madame","Garnier","Nicole","Garnier Nicole","nicole.garnier@test.ch","410224049673","410766029473","Boulevard du RhÃ´ne 95","","1227","CAROUGE","18/12/1948 00:00:00","FranÃ§ais","","","","","","Ancien","","Site Lancy","","","","","Non","Non","01/11/2016 16:43:01","2025-12-07 15:02:53","Oui","128"
"BEN-00129","Madame","Faure","Patrick","Faure Patrick","patrick.faure@email.ch","410227834891","410762854266","Route de GenÃ¨ve 30","","1217","MEYRIN","16/08/1955 00:00:00","FranÃ§ais","","","","","","Actif","","Site Lancy","","","","","Non","Oui","01/11/2016 16:52:57","2025-12-07 15:02:53","Oui","129"
"BEN-00130","Madame","Rousseau","Daniel","Rousseau Daniel","daniel.rousseau@exemple.ch","410224066281","410782168522","Chemin du Moulin 37","","1214","VERNIER","17/07/1976 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Lancéen","","","","","Non","Non","02/11/2016 12:10:44","2025-12-07 15:02:53","Oui","130"
"BEN-00131","Monsieur","Blanc","Christian","Blanc Christian","christian.blanc@mail.ch","410221309776","410775299567","Boulevard du RhÃ´ne 25","","1208","GENEVE","19/04/1960 00:00:00","FranÃ§ais","","","","","","Ponctuel","26/11/2016 00:00:00","Lancéen","","","","","Non","Oui","03/11/2016 10:39:01","2025-12-07 15:02:53","Oui","131"
"BEN-00132","Madame","Guerin","Jacques","Guerin Jacques","jacques.guerin@contact.ch","410229017026","410788714367","Route de Ferney 70","","1218","GRAND-SACONNEX","10/10/1974 00:00:00","FranÃ§ais","","","","","","Ancien","","Tél","","","","","Non","Non","03/11/2016 13:56:43","2025-12-07 15:02:53","Oui","132"
