"NumeroBeneficiaire","Civilite","Nom","Prenom","NomComplet","Email","Telephone","Adresse1","Adresse2","NPA","Ville","DateNaissance","Besoins","Referent","Horaires","DateDebut","Historique","Statut","RGPDConsentement","RGPDDateConsentement","SourceID"
"BNF-00181","Madame","Simon","Louis","Simon Louis","louis.simon@test.ch","410223788683","Avenue de la Libert̩ 68","","1227","CAROUGE","08/02/1944 00:00:00","","","","10/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","181"
"BNF-00185","Madame","Laurent","Sophie","Laurent Sophie","sophie.laurent@email.ch","410221681113","Route des Acacias 30","","1200","GENEVE","03/04/1973 00:00:00","","","","01/10/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","185"
"BNF-00186","Madame","Lefebvre","Marie","Lefebvre Marie","marie.lefebvre@exemple.ch","410228885247","Chemin de Bellevue 88","","1228","PLAN-LES-OUATES","20/04/1958 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","186"
"BNF-00187","Madame","Michel","Isabelle","Michel Isabelle","isabelle.michel@mail.ch","410227859550","Avenue de la Source 66","","1207","GENEVE","07/08/1962 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","187"
"BNF-00191","Madame","Garcia","Catherine","Garcia Catherine","catherine.garcia@contact.ch","410224804048","Avenue de la Libert̩ 95","","1205","GENEVE","12/12/1946 00:00:00","","","","27/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","191"
"BNF-00192","Monsieur","David","Nathalie","David Nathalie","nathalie.david@test.ch","410229844789","Rue du Commerce 15","","1208","GENEVE","18/03/1952 00:00:00","","","","02/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","192"
"BNF-00193","Monsieur","Bertrand","Pierre","Bertrand Pierre","pierre.bertrand@email.ch","410225939282","Avenue de la Source 97","","1205","GENEVE","28/10/1994 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","193"
"BNF-00194","Madame","Roux","Jean","Roux Jean","jean.roux@exemple.ch","410227214030","Rue du Stade 15","","1206","GENEVE","23/01/1954 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","194"
"BNF-00195","Monsieur","Vincent","Marc","Vincent Marc","marc.vincent@mail.ch","410228686651","Chemin de Bellevue 83","","1207","GENEVE","26/06/1990 00:00:00","","","","27/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","195"
"BNF-00196","Monsieur","Fournier","Philippe","Fournier Philippe","philippe.fournier@contact.ch","410224556715","Rue des Acacias 88","","1213","PETIT-LANCY","04/07/1974 00:00:00","","","","12/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","196"
"BNF-00197","Madame","Morel","Laurent","Morel Laurent","laurent.morel@test.ch","410227959673","Chemin du Moulin 41","","1209","GENEVE","22/05/1970 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","197"
"BNF-00198","Madame","Girard","Julie","Girard Julie","julie.girard@email.ch","410221206926","Route de Gen̬ve 6","","1201","GENEVE","06/02/1948 00:00:00","","","","18/12/2023 00:00:00","","Actif","Oui","2025-12-07 15:02:53","198"
"BNF-00199","Madame","Andr̩","Christine","Andr̩ Christine","christine.andrae@exemple.ch","410225089268","Chemin des Vignes 75","","1203","GENEVE","22/08/1986 00:00:00","","","","27/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","199"
"BNF-00200","Madame","Mercier","Sylvie","Mercier Sylvie","sylvie.mercier@mail.ch","410228675684","Route des Acacias 4","","1207","GENEVE","28/11/1999 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","200"
"BNF-00201","Madame","Dupont","Sandrine","Dupont Sandrine","sandrine.dupont@contact.ch","410226109665","Rue du Parc 34","","1227","CAROUGE","18/08/1998 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","201"
"BNF-00202","Madame","Lambert","Val̩rie","Lambert Val̩rie","valaerie.lambert@test.ch","410222605551","Chemin des Vignes 41","","1208","GENEVE","18/07/1941 00:00:00","","","","21/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","202"
"BNF-00203","Monsieur","Bonnet","Michel","Bonnet Michel","michel.bonnet@email.ch","410223705515","Rue de la Gare 88","","1227","CAROUGE","04/04/1982 00:00:00","","","","21/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","203"
"BNF-00204","Monsieur","Fran̤ois","Bernard","Fran̤ois Bernard","bernard.franacois@exemple.ch","410225058528","Rue Jean Jaur̬s 35","","1213","PETIT-LANCY","16/05/1982 00:00:00","","","","21/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","204"
"BNF-00205","Madame","Martinez","Alain","Martinez Alain","alain.martinez@mail.ch","410223172520","Rue de la Paix 46","","1208","GENEVE","12/01/1996 00:00:00","","","","21/02/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","205"
"BNF-00207","Madame","Legrand","Fran̤ois","Legrand Fran̤ois","franacois.legrand@contact.ch","410228001522","Rue de la Gare 51","","1213","PETIT-LANCY","23/09/1955 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","207"
"BNF-00209","Madame","Garnier","Thierry","Garnier Thierry","thierry.garnier@test.ch","410224868613","Rue Jean Jaur̬s 22","","1201","GENEVE","27/01/1971 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","209"
"BNF-00211","Madame","Faure","Anne","Faure Anne","anne.faure@email.ch","410229794060","Avenue Victor Hugo 85","","1207","GENEVE","26/11/1983 00:00:00","","","","06/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","211"
"BNF-00212","Monsieur","Rousseau","Martine","Rousseau Martine","martine.rousseau@exemple.ch","410224253848","Rue de la Gare 31","","1217","MEYRIN","23/03/1999 00:00:00","","","","06/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","212"
"BNF-00217","Madame","Blanc","Fran̤oise","Blanc Fran̤oise","franacoise.blanc@mail.ch","410225368156","Avenue de la Libert̩ 19","","1208","GENEVE","17/04/1961 00:00:00","","","","01/01/2001 00:00:00","","Actif","Oui","2025-12-07 15:02:53","217"
"BNF-00218","Madame","Guerin","Monique","Guerin Monique","monique.guerin@contact.ch","410228992430","Chemin des Vignes 35","","1201","GENEVE","06/11/1940 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","218"
"BNF-00219","Madame","Muller","Nicole","Muller Nicole","nicole.muller@test.ch","410228339168","Avenue de la Source 61","","1209","GENEVE","12/03/1942 00:00:00","","","","09/09/2008 00:00:00","","Actif","Oui","2025-12-07 15:02:53","219"
"BNF-00220","Madame","Henry","Patrick","Henry Patrick","patrick.henry@email.ch","410222199288","Chemin des Vignes 81","","1227","CAROUGE","16/12/1979 00:00:00","","","","17/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","220"
"BNF-00221","Madame","Roussel","Daniel","Roussel Daniel","daniel.roussel@exemple.ch","410228273430","Boulevard du Rh̫ne 11","","1209","GENEVE","07/08/1993 00:00:00","","","","13/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","221"
"BNF-00223","Madame","Nicolas","Christian","Nicolas Christian","christian.nicolas@mail.ch","410225048778","Route de Lausanne 86","","1206","GENEVE","12/09/1993 00:00:00","","","","20/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","223"
"BNF-00224","Madame","Perrin","Jacques","Perrin Jacques","jacques.perrin@contact.ch","410225964065","Chemin de la For̻t 62","","1227","CAROUGE","09/05/1974 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","224"
"BNF-00226","Monsieur","Meyer","Andr̩","Meyer Andr̩","andrae.meyer@test.ch","410224097140","Chemin de la Colline 94","","1214","VERNIER","16/06/1957 00:00:00","","","","23/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","226"
"BNF-00234","Madame","Clement","C̩line","Clement C̩line","caeline.clement@email.ch","410226768766","Rue des Acacias 80","","1227","CAROUGE","09/03/1960 00:00:00","","","","29/03/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","234"
"BNF-00238","Madame","Dufour","St̩phanie","Dufour St̩phanie","staephanie.dufour@exemple.ch","410229527264","Chemin de Bellevue 55","","1203","GENEVE","24/03/1950 00:00:00","","","","25/04/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","238"
"BNF-00245","Monsieur","Fontaine","Corinne","Fontaine Corinne","corinne.fontaine@mail.ch","410226762429","Chemin de la For̻t 44","","1209","GENEVE","19/10/1991 00:00:00","","","","12/04/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","245"
"BNF-00250","Madame","Chevalier","Brigitte","Chevalier Brigitte","brigitte.chevalier@contact.ch","410228346496","Avenue de la Source 50","","1208","GENEVE","09/06/1952 00:00:00","","","","01/01/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","250"
"BNF-00251","Monsieur","Robin","Dominique","Robin Dominique","dominique.robin@test.ch","410226744173","Rue Jean Jaur̬s 66","","1213","PETIT-LANCY","20/10/1969 00:00:00","","","","01/01/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","251"
